fiscalDateEnding_income,reportedCurrency_income,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,date,fiscalDateEnding_balance,reportedCurrency_balance,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-03-31,USD,224538000,580337000,355799000,355799000,229281000,14481000,None,14481000,None,-43850000,None,43850000,None,None,None,205690000,185787000,46805000,None,138982000,None,229637000,435327000,138982000,2025-03-31,2025-03-31,USD,5674614000,521612000,33576000,33576000,None,419470000,5153002000,None,None,None,None,None,None,None,None,57980000,None,3272533000,564318000,230924000,None,None,None,2708215000,None,2310500000,None,None,None,333394000,2148000,2402081000,None,581500000,501000,99992487
2024-12-31,USD,185323000,549201000,363878000,363878000,132634000,15528000,None,52688000,None,-45259000,None,45259000,None,None,None,204674000,87838000,16140000,None,71699000,None,133098000,337772000,71698000,2024-12-31,2024-12-31,USD,5603822000,500743000,8933000,8933000,None,427723000,5103079000,None,None,None,None,None,None,None,None,64087000,None,3283387000,544270000,202866000,None,None,None,2739117000,None,2369294000,None,None,2369294000,341404000,2272000,2320435000,None,442518000,501000,101267625
2024-09-30,USD,208258000,515488000,307230000,307230000,433940000,10005000,None,-225682000,None,-36837000,None,36837000,None,None,None,185657000,397223000,98777000,None,298446000,None,434060000,619717000,298446000,2024-09-30,2024-09-30,USD,5055327000,518923000,34356000,34356000,None,353506000,4536404000,None,None,None,None,None,None,None,None,131061000,None,2741825000,420288000,152455000,None,None,None,2321537000,None,1953099000,None,None,1953099000,267833000,2391000,2313502000,None,370819000,502000,100724784
2024-06-30,USD,238134000,564194000,326060000,326060000,222464000,13538000,None,15670000,None,-37696000,None,37696000,None,None,None,176612000,181303000,42747000,None,138557000,None,218999000,395611000,138556000,2024-06-30,2024-06-30,USD,4724664000,413667000,7778000,7778000,1,361984000,4310997000,None,None,None,None,None,None,None,None,43905000,None,2656357000,465569000,150145000,None,None,None,2190788000,None,1874909000,None,None,1874909000,315424000,2509000,2068307000,None,72373000,502000,101985074
2024-03-31,USD,204264000,534879000,330615000,330615000,192871000,11393000,None,11393000,None,-37925000,None,37925000,None,None,None,173958000,14452000,2846000,None,11606000,None,52377000,226335000,11606000,2024-03-31,2024-03-31,USD,4633801000,412796000,32468000,32468000,1,334258000,4221005000,None,None,None,None,None,None,None,None,46070000,None,2631822000,428010000,156233000,None,None,None,2203812000,None,1938731000,None,None,1938731000,271777000,2624000,2001980000,None,-66183000,503000,101636132
2023-12-31,USD,11439000,310591000,299152000,299152000,1118000,9553000,None,10321000,None,-36513000,None,36513000,None,None,None,151188000,447614000,58761000,None,388853000,None,484127000,635315000,388853000,2023-12-31,2023-12-31,USD,4484255000,509407000,8195000,8195000,1,373780000,3974848000,None,None,None,None,None,None,None,None,127432000,None,2436579000,385761000,192672000,None,None,None,2050818000,None,1835554000,None,None,1835554000,193089000,2742000,2047676000,None,-77790000,503000,99814411
2023-09-30,USD,55518000,313973000,258455000,258455000,42438000,11846000,None,271536000,None,-37040000,37040000,37040000,None,None,None,133791000,5419000,-20691000,None,26110000,None,42459000,176250000,26111000,2023-09-30,2023-09-30,USD,4304666000,469626000,12952000,12952000,-456674000,363516000,3835040000,3788636000,None,None,None,None,None,None,None,93158000,None,2896873000,602491000,235129000,None,None,0,2294382000,None,2057359000,None,None,2057359000,365311000,2847000,1407793000,None,-466642000,495000,93742407
2023-06-30,USD,190870000,418785000,227915000,227915000,234791000,12402000,None,13848000,None,-31968000,31968000,31968000,None,None,None,106427000,206826000,39012000,None,167814000,None,238794000,345221000,167815000,2023-06-30,2023-06-30,USD,3664749000,385753000,14805000,14805000,102923000,265042000,3278995000,3216981000,None,None,None,None,None,None,None,105411000,None,2248952000,378751000,154020000,None,None,0,1870201000,None,1672551000,None,None,1672551000,224731000,2944000,1415797000,None,-492753000,495000,89108519
2023-03-31,USD,220934000,428558000,207624000,207624000,360589000,13000000,None,-139655000,None,-30143000,31160000,30143000,None,None,None,94618000,340883000,692000,None,340191000,None,371026000,465644000,340191000,2023-03-31,2023-03-31,USD,3342866000,395941000,6073000,6073000,113141000,274399000,2946926000,2915940000,None,None,None,None,None,None,None,115469000,None,2294800000,345300000,134264000,None,None,0,1949500000,None,1756949000,None,None,1756949000,210683000,3043000,1048066000,None,-660568000,487000,85407197
2022-12-31,USD,257848000,445647000,187799000,187799000,167535000,15045000,None,15045000,None,-23808000,24587000,23808000,None,None,None,77317000,145042000,-27000,None,145069000,None,168850000,246167000,145068000,2022-12-31,2022-12-31,USD,2875178000,320485000,2528000,2528000,44269000,271674000,2554693000,2482926000,None,None,None,None,None,None,None,46283000,None,2129918000,344972000,128582000,None,None,0,1784946000,None,1525413000,None,None,1525413000,216390000,2046000,745260000,None,-1000759000,487000,81857034
2022-09-30,USD,357324000,534050000,176726000,176726000,281070000,10278000,None,10278000,None,-20135000,20177000,20135000,None,None,None,65975000,584798000,1333000,None,583465000,None,604934000,670909000,583465000,2022-09-30,2022-09-30,USD,2471476000,376694000,9129000,9129000,1,318139000,2094782000,2015060000,None,None,None,None,None,None,None,49426000,None,1762379000,381746000,142678000,None,None,0,1380633000,None,1169220000,None,None,1169220000,239068000,2116000,709097000,None,-1145827000,481000,86141293
2022-06-30,USD,386365000,549643000,163278000,163278000,270104000,8064000,None,8064000,None,-18410000,17886000,18410000,None,None,None,54796000,252269000,1006000,None,251263000,None,270679000,325475000,251264000,2022-06-30,2022-06-30,USD,2192235000,382795000,1471000,1471000,None,360859000,1809440000,1771252000,None,None,None,None,None,None,None,20465000,None,2039585000,635932000,141372000,None,None,0,1403653000,None,1102214000,None,None,1102214000,494560000,2186000,152650000,None,-1729292000,481000,86788465
2022-03-31,USD,314117000,456458000,142341000,142341000,300304000,13813000,None,13813000,None,-17977000,16687000,17977000,None,None,None,53185000,-205771000,789000,None,-206560000,None,-187794000,-134609000,-206560000,2022-03-31,2022-03-31,USD,2024469000,323456000,3335000,3335000,None,297754000,1701013000,1689545000,None,None,None,None,None,None,None,22367000,None,2059771000,625529000,101696000,None,None,3000,1434242000,None,1119500000,None,None,1119503000,523830000,2304000,-35302000,None,-1980556000,479000,76922543
2021-12-31,USD,213932000,332373000,118441000,118441000,190286000,10463000,None,10463000,None,-15899000,15311000,15899000,None,None,None,42814000,174960000,233000,None,174727000,None,190859000,233673000,174727000,2021-12-31,2021-12-31,USD,1522866000,215328000,9519000,9519000,8838000,193554000,1307538000,1253342000,None,None,None,None,None,None,None,3417000,None,1307732000,327557000,65464000,None,None,189000,980175000,None,803437000,None,None,803626000,261904000,3111000,215134000,None,-1773996000,479000,81849627
2021-09-30,USD,160617000,259670000,99053000,99053000,26964000,5490000,None,5490000,None,-14586000,14494000,14586000,None,None,None,35885000,12554000,127989000,None,12554000,None,27140000,63025000,12554000,2021-09-30,2021-09-30,USD,1244062000,167583000,2006000,2006000,5137000,158047000,1076479000,1064509000,None,None,None,None,None,None,None,2393000,None,1401773000,355172000,65912000,None,None,504000,1046601000,None,858415000,None,None,858919000,288756000,4349000,-157711000,None,-1948723000,468000,66629566
2021-06-30,USD,133596000,225717000,92121000,92121000,-74920000,7604000,None,7604000,None,-15024000,14903000,15024000,None,None,None,30908000,-90563000,201535000,None,-90563000,None,-75539000,-44631000,-90563000,2021-06-30,2021-06-30,USD,1091810000,139664000,4843000,4843000,951000,131165000,952146000,930080000,None,None,None,None,None,None,None,2705000,None,1260027000,300837000,49186000,None,None,558000,959190000,None,801998000,None,None,802556000,251093000,3490000,-168217000,None,-1961276000,468000,60694795
2021-03-31,USD,78346000,157332000,78986000,78986000,-64371000,6782000,None,6782000,None,-13510000,13270000,13510000,None,None,None,31221000,-90357000,148414000,None,-90357000,None,-76847000,-45626000,-90357000,2021-03-31,2021-03-31,USD,873243000,102424000,2729000,2729000,2436000,94804000,770819000,742385000,None,None,None,None,None,None,None,2455000,None,1053926000,155968000,40788000,None,None,600000,897958000,None,817061000,None,None,817661000,114580000,26000,-180683000,None,-1870714000,462000,54538099
2020-12-31,USD,29508000,99515000,70007000,70007000,-128757000,4361000,None,4361000,None,-13358000,13172000,13358000,None,None,None,32770000,-142123000,153887000,None,-142123000,None,-128766000,-95996000,-142123000,2020-12-31,2020-12-31,USD,872089000,125629000,1428000,1428000,51766000,71015000,746460000,735204000,None,None,None,None,None,None,None,53186000,None,1095393000,182475000,35803000,None,None,65000000,912918000,None,879843000,65000000,None,944843000,81672000,50000,-223304000,None,-1780356000,448000,45520634
2020-09-30,USD,11802000,73683000,61881000,61881000,-218653000,4605000,None,4605000,None,-14637000,14413000,14637000,None,None,None,30785000,-233004000,224034000,None,-233004000,None,-218366000,-187581000,-233004000,2020-09-30,2020-09-30,USD,1025524000,183749000,1803000,1803000,120182000,60067000,841775000,823002000,None,None,None,None,None,None,None,121879000,None,1109255000,170455000,20372000,None,None,65000000,938800000,None,918327000,65000000,None,983327000,85083000,126000,-83731000,None,-1638234000,448000,43517074
2020-06-30,USD,-44644000,20667000,65311000,65311000,-884708000,4710000,None,4710000,None,-13957000,31937000,13957000,None,None,None,36756000,-899200000,835889000,None,-899200000,None,-885243000,-848487000,-899200000,2020-06-30,2020-06-30,USD,1263273000,205094000,1838000,1838000,157224000,43828000,1058179000,1009083000,None,None,None,None,None,None,None,159428000,None,1122545000,179220000,50005000,None,None,65000000,943325000,None,924171000,65000000,None,989171000,64215000,200000,140728000,None,-1404117000,436000,41535604
2020-03-31,USD,19164000,130204000,111040000,111040000,14294000,4871000,None,4871000,None,-16551000,17228000,16551000,None,None,None,61809000,368120000,-166000,None,368286000,None,384671000,446480000,368286000,2020-03-31,2020-03-31,USD,2237386000,354847000,8512000,8512000,246119000,98000000,1882539000,1773801000,None,None,None,None,None,None,None,248335000,None,1228379000,235078000,58447000,None,None,65000000,993301000,None,975282000,65000000,None,1040282000,111631000,274000,1009007000,None,-504917000,406000,49721264
2019-12-31,USD,45717000,160709000,114992000,114992000,-62527000,8118000,None,8118000,None,-21840000,21840000,21840000,None,None,None,63410000,-107939000,123768000,None,-107937000,None,-86098000,-22688000,-107939000,2019-12-31,2019-12-31,USD,1905465000,133037000,16068000,16068000,6521000,108484000,1772428000,1748593000,None,None,None,None,None,None,None,1964000,None,1346822000,203477000,69395000,None,None,122574000,1143345000,None,1118161000,None,None,1240735000,11298000,346000,558643000,None,-873203000,406000,40204203
2019-09-30,USD,54688000,157992000,103304000,103304000,50559000,4206000,None,4206000,None,-21510000,21533000,21510000,None,None,None,55566000,94381000,-65332000,None,94381000,None,115889000,171455000,94381000,2019-09-30,2019-09-30,USD,1902009000,172110000,1901000,1901000,66562000,103646000,1729899000,1676955000,None,None,None,None,None,None,None,66563000,None,1387895000,230824000,112698000,None,None,None,1157071000,None,1140072000,None,None,1140072000,118126000,417000,514114000,None,-765266000,404000,39653070
2019-06-30,USD,63592000,149849000,86257000,86257000,92239000,5250000,None,5250000,None,-17778000,22651000,17778000,None,None,None,46091000,44399000,-3836000,None,44399000,None,62177000,108268000,44399000,2019-06-30,2019-06-30,USD,1494391000,133068000,2794000,2794000,33956000,88092000,1361324000,1293282000,None,None,None,None,None,None,None,8226000,None,1104743000,232726000,175164000,None,None,2791000,872017000,None,857198000,2791000,None,859989000,54771000,330000,389648000,None,-859647000,389000,37872451
2019-03-31,USD,50369000,132689000,82320000,82320000,-95305000,6051000,None,6051000,None,-19548000,13261000,19548000,None,None,None,45134000,-107162000,131944000,None,-107162000,None,-87614000,-42480000,-107162000,2019-03-31,2019-03-31,USD,1395779000,126461000,3944000,3944000,18621000,91714000,1269318000,1240691000,None,None,None,None,None,None,None,12182000,None,1083019000,226054000,154339000,None,None,9225000,856965000,None,839229000,9225000,None,848454000,62490000,381000,312760000,None,-904046000,377000,37144856
2018-12-31,USD,69156139,152567433,83411294,83411294,354808839,4975781,0,4975781,None,None,None,20940722,None,None,None,48294929,218237263,-55000,None,218292263,None,239177982,287472911,218292263,2018-12-31,2018-12-31,USD,1503645305,228414559,2357858,2357858,116138740,97557934,1275230746,1202745241,None,None,None,None,None,None,None,12360027,None,1073780422,231526297,135482513,None,None,400208345,842254125,None,830203272,18183212,None,1230411345,76252129,None,429864883,None,-796884497,378333,37940110
2018-09-30,USD,83419098,145417293,61998195,61998195,35596558,4674467,0,4674467,None,None,None,20438025,None,None,None,30258089,18978573,39627427,None,18978573,None,39416597,69674686,18978573,2018-09-30,2018-09-30,USD,1068949402,224740440,112965907,112965907,2552490,91261396,844208962,817980831,None,None,None,None,None,None,None,17960647,None,1057739429,215378909,122279397,None,None,6030363,842360520,None,789789014,6030363,None,795558413,87069149,None,11209973,None,-1015176760,334210,30175541
2018-06-30,USD,61771894,109048687,47276793,47276793,16317867,3251239,0,3251239,None,None,None,22403373,None,None,None,22596028,-96546698,133035763,None,-96546698,None,-74143321,-51547293,-96546698,2018-06-30,2018-06-30,USD,883082503,275983359,200924143,200924143,416002,69058427,607099144,601012579,None,None,None,None,None,None,None,6000789,None,1030902761,158003883,92176052,None,None,10923000,872898878,None,834767656,10923000,None,834767656,54904831,None,-147820258,None,-1034155333,293600,19614061
2018-03-31,USD,47843549,86884914,39041365,39041365,25905223,1666875,0,1666875,None,None,None,23106761,None,None,None,18630629,2965097,20271451,None,2965097,None,26071860,44702489,2965097,2018-03-31,2018-03-31,USD,664470446,147020439,89472745,89472745,3023851,52069278,517450007,510666737,None,None,None,None,None,None,None,5478416,None,1153246930,147942804,95148543,None,None,980782714,1005304126,None,980782714,980782714,None,980782714,52794261,None,-488776484,None,-937608635,65938,6538277
2017-12-31,USD,34893807,72479598,37585791,37585791,-3659510,3076000,0,3076000,None,None,None,20881740,None,None,None,17631875,-25418703,-1570016,None,-53343866,None,-4536960,13094915,-23848687,2017-12-31,2017-12-31,USD,632253679,152758154,102183191,102183191,604977,47636698,479495525,473220000,None,None,None,None,None,None,None,2333288,None,1123094229,123575246,93152297,None,None,773258942,999518983,None,979324000,979324222,None,979324222,18681891,None,-490840550,None,-940573732,66792,6467278
2017-09-30,USD,21233953,54261912,33027959,33027959,584981,7985719,0,7985719,None,None,None,16672632,None,None,None,15357685,-16087467,12663253,None,98110327,None,585164,15942849,-16087467,2017-09-30,2017-09-30,USD,494365880,53470363,6776667,6776667,3833637,40581385,440895517,433409000,None,None,None,None,None,817418,None,6112311,None,964970306,265468079,81150980,None,None,155000000,699502227,None,691118000,155000000,None,846118074,29317099,None,-470604426,None,-916725044,63822,6184337
2017-06-30,USD,18129084,48388850,30259766,30259766,30324977,4317139,0,4317139,None,None,None,16428164,None,None,None,13682452,13801859,-16513032,None,-70900756,None,30230022,43912474,13801859,2017-06-30,2017-06-30,USD,481305903,60669457,3808829,3808829,16567823,37386830,420636446,407941000,None,None,None,None,None,4557331,None,19473798,None,936776875,83343284,72396006,None,None,845281659,853433591,None,845282000,845281659,None,845281659,10947278,None,-455470972,None,-900637578,63822,6188595
2017-03-31,USD,19892208,48855964,28963756,28963756,33244148,3608943,0,3608943,None,None,None,16303805,None,None,None,12828143,16940523,-16960883,None,16940523,None,33244327,46072470,16940523,2017-03-31,2017-03-31,USD,449244727,48188446,5518799,5518799,4850084,35347246,401056281,390803000,None,None,None,None,None,2058303,None,7322400,None,919335025,88587466,64204150,None,None,408822,830747559,None,823451000,408822,None,823450676,24383316,None,-470090298,None,-914439437,63383,6197212
2016-12-31,USD,17362743,47084861,29722118,29722118,2485839,3735671,0,3735671,None,None,None,16195176,None,None,None,13523186,-13732577,-1402179,None,-247874813,None,2462598,15985784,-12330398,2016-12-31,2016-12-31,USD,431532961,46894169,6486098,6486098,1581720,37242221,384638792,376209000,None,None,None,None,None,None,None,3165850,None,918954629,77443666,56146847,None,None,832625125,841510963,None,832625000,832625125,None,832625125,21296819,None,-487421668,None,-931379960,63260,6131045
2016-09-30,USD,13063882,41727844,28663962,28663962,-29473638,2098293,0,2098293,None,None,None,16145440,None,None,None,13698020,-45618895,40439227,None,63359766,None,-29473458,-15775438,-45618895,2016-09-30,2016-09-30,USD,410372136,46321835,3319021,3319021,8945998,32856099,364050301,355364000,None,None,None,None,None,20166,None,10146715,None,886432594,72582958,47759558,None,None,707703,813849636,None,807789000,707703,None,807788710,24823401,None,-476060458,None,-919049564,63030,6123762
2016-06-30,USD,11057626,42537174,31479548,31479548,-92932518,4586275,0,4586275,None,None,None,16046325,None,None,None,16176863,-108978662,99403869,None,-108978661,None,-92932337,-76755474,-108978662,2016-06-30,2016-06-30,USD,465384219,59592690,3667114,3667114,14115889,40558636,405791529,396890000,None,None,None,None,None,20166,None,15366940,None,895181460,70349727,59318247,None,None,1387889,824831733,None,818952000,1387889,None,818952295,11031480,None,-429797241,None,-873430668,64597,6118031
